TV,Radio,Newspaper,Predicted_Sales
96.2,14.8,1.6,11.844000000000003
199.8,2.6,1.3,16.666000000000004
281.4,39.6,1.7,23.00250000000001
218.4,27.7,1.7,19.167
175.1,22.5,1.5,17.327999999999996
57.5,32.8,1.4,10.677500000000002
216.4,41.7,1.6,21.867499999999993
28.6,1.5,1.5,7.638999999999992
59.6,12.0,1.6,9.48550000000001
287.6,43.0,1.9,25.324000000000034
237.4,5.1,1.4,17.2
293.6,27.7,0.3,19.982000000000024
137.9,46.4,1.8,16.56150000000002
140.3,1.9,1.0,11.584999999999987
110.7,40.6,1.8,15.367500000000012
197.6,23.3,1.2,18.364000000000004
229.5,32.3,1.9,20.007500000000007
217.7,33.5,1.8,19.64449999999999
296.4,36.3,2.0,22.552000000000017
97.5,7.6,0.9,11.907999999999998
13.1,0.4,1.4,6.639500000000002
16.9,43.7,2.0,7.430000000000007
202.5,22.3,1.5,18.9925
283.6,42.0,1.8,24.459000000000024
75.5,10.8,0.8,11.428499999999994
17.2,4.1,1.5,6.793500000000002
149.7,35.6,0.8,15.805500000000013
76.4,0.8,1.2,11.778000000000002
17.2,45.9,1.8,7.443500000000007
265.2,2.9,1.6,16.947999999999997
147.3,23.9,1.3,14.030500000000002
104.6,5.7,1.5,11.880499999999998
243.2,49.0,1.6,24.193999999999996
13.2,15.9,1.7,6.841000000000001
280.2,10.1,1.3,18.255999999999993
53.5,2.0,1.3,9.109000000000004
25.6,39.0,1.0,7.6389999999999985
215.4,23.6,1.8,18.5875
43.0,25.9,1.3,10.159500000000007
262.7,28.8,1.2,19.607
248.4,30.2,1.3,19.63600000000001
241.7,38.0,1.4,21.747
78.2,46.8,1.5,14.087499999999999
204.1,32.9,1.7,19.111999999999988
25.0,11.0,1.5,7.722000000000001
193.2,18.4,1.8,19.304499999999997
206.8,5.2,1.3,16.964500000000022
38.2,3.7,1.1,9.807000000000002
142.9,29.3,1.1,15.049500000000009
48.3,47.0,0.9,11.550499999999998
